Time,Axis1,Axis2,Axis3,VM,Active
947017560,3791,2400,4266,6191,TRUE
947017620,3760,2308,3842,5850,TRUE
947017680,3703,2389,3559,5664,TRUE
947017740,3690,2494,4705,6479,TRUE
947017800,3623,2450,3879,5846,TRUE
947017860,3871,1807,4220,6005,TRUE
947017920,3126,2264,2217,4451,TRUE
947017980,5418,4175,4282,8070,TRUE
947018040,4252,4047,3408,6788,TRUE
947018100,2362,2720,2785,4553,TRUE
947018160,4557,3980,3958,7230,TRUE
947018220,3905,4155,5274,7767,TRUE
947018280,4312,4237,5187,7966,TRUE
947018340,3627,2688,5309,6969,TRUE
947018400,2981,2179,3616,5168,TRUE
947018460,4265,2838,2940,5907,TRUE
947018520,1203,987,822,1760,TRUE
947018580,159,1274,2070,2436,TRUE
947018640,517,1429,978,1807,TRUE
947018700,2173,2588,2553,4235,TRUE
947018760,4796,3688,4206,7368,TRUE
947018820,3032,3119,3711,5718,TRUE
947018880,4029,2801,3396,5968,TRUE
947018940,3890,2969,4857,6895,TRUE
947019000,3755,3157,4244,6487,TRUE
947019060,3035,2910,3683,5590,TRUE
947019120,1417,997,1165,2088,TRUE
947019180,3652,2144,3174,5292,TRUE
947019240,2236,1632,2925,4027,TRUE
947019300,3133,2769,4619,6230,TRUE
947019360,5123,3524,5002,7980,TRUE
947019420,2456,1548,1923,3482,TRUE
947019480,3197,2059,2812,4729,TRUE
947019540,2510,1979,3203,4525,TRUE
947019600,3147,1847,4220,5579,TRUE
947019660,3080,2546,3468,5291,TRUE
947019720,647,1320,1052,1808,TRUE
947019780,0,0,0,0,FALSE
947019840,0,0,0,0,FALSE
947019900,0,0,0,0,FALSE
947019960,0,0,0,0,FALSE
947020020,0,0,0,0,FALSE
947020080,0,0,0,0,FALSE
947020140,0,0,0,0,FALSE
947020200,0,0,0,0,FALSE
947020260,0,0,0,0,FALSE
947020320,0,0,0,0,FALSE
947020380,0,0,0,0,FALSE
947020440,0,0,0,0,FALSE
947020500,0,0,0,0,FALSE
947020560,0,0,0,0,FALSE
947020620,0,0,0,0,FALSE
947020680,0,0,0,0,FALSE
947020740,0,0,0,0,FALSE
947020800,0,0,0,0,FALSE
947020860,0,0,0,0,FALSE
947020920,0,0,0,0,FALSE
947020980,0,0,0,0,FALSE
947021040,0,0,0,0,FALSE
947021100,0,0,0,0,FALSE
947021160,0,0,0,0,FALSE
947021220,0,0,0,0,FALSE
947021280,0,0,0,0,FALSE
947021340,0,0,0,0,FALSE
947021400,0,0,0,0,FALSE
947021460,0,0,0,0,FALSE
947021520,0,0,0,0,FALSE
947021580,0,0,0,0,FALSE
947021640,0,0,0,0,FALSE
947021700,0,0,0,0,FALSE
947021760,0,0,0,0,FALSE
947021820,0,0,0,0,FALSE
947021880,0,0,0,0,FALSE
947021940,0,0,0,0,FALSE
947022000,0,0,0,0,FALSE
947022060,0,0,0,0,FALSE
947022120,0,0,0,0,FALSE
947022180,0,0,0,0,FALSE
947022240,0,0,0,0,FALSE
947022300,0,0,0,0,FALSE
947022360,0,0,0,0,FALSE
947022420,0,0,0,0,FALSE
947022480,0,0,0,0,FALSE
947022540,0,0,0,0,FALSE
947022600,0,0,0,0,FALSE
947022660,0,0,0,0,FALSE
947022720,0,0,0,0,FALSE
947022780,0,0,0,0,FALSE
947022840,0,0,0,0,FALSE
947022900,0,0,0,0,FALSE
947022960,0,0,0,0,FALSE
947023020,0,0,0,0,FALSE
947023080,0,0,0,0,FALSE
947023140,0,0,0,0,FALSE
947023200,0,0,0,0,FALSE
947023260,0,0,0,0,FALSE
947023320,0,0,0,0,FALSE
947023380,0,0,0,0,FALSE
947023440,0,0,0,0,FALSE
947023500,0,0,0,0,FALSE
947023560,0,0,0,0,FALSE
947023620,0,0,0,0,FALSE
